4
0,1,6
0,7,8
0,8,11
0,11,15
0,12,14
0,15,16
1,0,15
1,1,11
1,5,16
1,6,14
1,10,12
1,13,6
2,0,13
2,2,9
2,3,12
2,8,3
2,9,16
2,10,14
2,12,15
2,13,11
2,14,10
3,0,2
3,2,16
3,4,11
3,6,15
3,7,10
3,8,1
4,1,15
4,2,11
4,3,10
4,6,16
4,7,2
4,8,13
4,9,8
4,10,9
4,11,12
5,0,12
5,1,13
5,4,4
5,5,1
5,6,5
5,7,6
5,8,2
5,9,3
5,14,11
5,15,10
6,0,5
6,2,6
6,3,1
6,4,12
6,6,9
6,8,15
6,9,11
6,10,10
6,11,7
6,12,16
6,15,3
7,1,2
7,5,10
7,7,11
7,8,6
7,10,5
7,13,13
7,15,9
8,0,10
8,1,7
8,2,15
8,3,11
8,4,16
8,8,12
8,9,13
8,15,6
9,0,9
9,6,1
9,9,2
9,11,16
9,12,10
9,15,11
10,0,1
10,2,4
10,3,6
10,4,9
10,5,13
10,8,7
10,10,11
10,12,3
10,13,16
11,0,16
11,1,14
11,4,7
11,6,10
11,7,15
11,8,4
11,9,6
11,10,1
11,14,13
11,15,8
12,0,11
12,1,10
12,3,15
12,7,16
12,8,9
12,9,12
12,10,13
12,13,1
12,14,5
12,15,4
13,2,12
13,4,1
13,5,4
13,6,6
13,8,16
13,12,11
13,13,10
14,2,5
14,4,8
14,5,12
14,6,13
14,8,10
14,11,11
14,12,2
14,15,14
15,0,3
15,1,16
15,4,10
15,7,7
15,10,6
15,14,12
