4
0,0,1
0,3,2
0,4,3
0,5,4
0,8,12
0,10,6
0,14,7
1,2,8
1,6,7
1,9,3
1,12,9
1,13,10
1,14,6
1,15,11
2,1,12
2,4,10
2,7,1
2,9,13
2,11,11
2,14,14
3,0,3
3,3,15
3,4,2
3,7,14
3,11,9
3,14,12
4,0,13
4,4,8
4,7,10
4,9,12
4,10,2
4,12,1
4,13,15
5,1,11
5,2,7
5,3,6
5,7,16
5,11,15
5,14,5
5,15,13
6,3,10
6,5,5
6,6,15
6,9,4
6,11,8
6,14,11
7,0,16
7,3,5
7,4,9
7,5,12
7,8,1
7,14,8
8,1,2
8,7,13
8,10,12
8,11,5
8,12,8
8,15,3
9,1,13
9,4,15
9,6,3
9,9,14
9,10,8
9,12,16
10,0,5
10,1,8
10,4,1
10,8,2
10,12,13
10,13,9
10,14,15
11,2,12
11,3,4
11,5,6
11,6,16
11,8,13
11,11,7
11,15,5
12,1,3
12,4,12
12,8,6
12,11,4
12,12,11
12,15,16
14,0,11
14,1,1
14,2,15
14,3,9
14,6,13
14,9,2
14,13,14
15,1,14
15,5,11
15,7,2
15,10,13
15,11,3
15,12,5
15,15,12
