5
0,6,18
0,9,25
0,10,13
0,13,2
0,15,14
0,22,20
1,9,14
1,14,9
1,15,12
1,18,15
1,21,11
1,23,13
2,0,1
2,4,7
2,7,9
2,9,3
2,11,4
2,15,10
2,16,2
2,17,20
2,18,21
2,19,6
2,21,23
2,23,15
2,24,14
3,1,5
3,3,19
3,4,6
3,5,21
3,7,2
3,11,7
3,12,14
3,20,12
3,21,10
3,22,18
4,4,16
4,7,23
4,8,19
4,10,22
4,15,4
4,18,11
4,20,21
4,22,2
4,24,7
5,0,16
5,3,18
5,4,22
5,10,23
5,13,10
5,16,4
5,18,19
5,20,9
5,21,25
5,24,20
6,1,9
6,3,14
6,8,6
6,10,19
6,13,3
6,14,20
6,15,21
6,18,8
6,20,22
6,21,1
6,23,17
6,24,12
7,2,1
7,3,17
7,6,2
7,7,18
7,11,24
7,12,15
7,17,6
7,18,25
7,19,7
7,22,11
7,24,3
8,0,10
8,1,3
8,2,4
8,3,24
8,4,15
8,5,12
8,8,5
8,10,9
8,11,8
8,15,22
8,16,23
8,17,2
8,20,14
9,3,13
9,5,8
9,7,19
9,8,3
9,12,11
9,15,9
9,16,15
9,18,17
9,21,2
9,22,24
10,0,19
10,5,2
10,7,24
10,10,17
10,13,6
10,16,22
10,17,13
10,20,4
11,0,25
11,2,7
11,5,5
11,6,6
11,7,8
11,9,19
11,11,14
11,13,24
11,15,3
11,17,23
11,24,1
12,0,15
12,2,16
12,3,8
12,4,2
12,5,23
12,10,21
12,11,12
12,12,5
12,13,18
12,20,20
12,21,17
12,23,10
13,4,18
13,6,9
13,9,22
13,10,10
13,12,19
13,17,25
13,18,6
13,20,5
13,21,21
13,24,15
14,1,6
14,2,23
14,5,10
14,6,12
14,7,16
14,12,8
14,14,4
14,15,18
14,16,24
14,17,17
14,19,20
15,3,15
15,6,1
15,8,18
15,13,25
15,14,19
15,17,7
15,18,24
15,19,5
15,21,9
16,2,2
16,4,3
16,5,6
16,8,25
16,9,23
16,14,14
16,15,11
16,16,21
16,17,1
16,18,22
16,19,13
16,24,18
17,1,14
17,10,11
17,11,17
17,12,18
17,13,16
17,14,3
17,15,15
17,18,9
17,20,6
17,21,5
17,22,8
18,0,8
18,4,23
18,5,20
18,8,4
18,10,1
18,12,9
18,13,7
18,17,10
19,2,10
19,4,21
19,6,7
19,9,12
19,11,13
19,12,24
19,17,14
19,18,18
19,19,2
19,20,19
19,21,15
20,2,13
20,4,24
20,5,9
20,6,5
20,8,20
20,9,17
20,12,12
20,14,2
20,15,23
20,18,3
20,19,11
20,21,8
20,22,10
20,23,7
21,1,4
21,2,22
21,7,3
21,8,12
21,11,1
21,12,25
21,21,19
22,0,20
22,1,1
22,8,14
22,9,7
22,10,15
22,12,22
22,14,16
22,15,5
22,19,19
22,23,21
22,24,25
23,2,6
23,6,8
23,7,21
23,9,24
23,12,17
23,14,7
23,15,25
23,18,13
23,19,12
23,21,3
23,22,16
23,24,4
24,2,5
24,3,10
24,5,18
24,7,13
24,8,23
24,9,2
24,11,21
24,13,19
24,15,1
24,16,20
24,18,14
24,19,4
24,21,22
